context,target_word,question,annotated_question,answers,ground_truth_answer,bert-base_pred_orig,bert-base_pred_ambig,bert-large_pred_orig,bert-large_pred_ambig,roberta-base_pred_orig,roberta-base_pred_ambig,roberta-large_pred_orig,roberta-large_pred_ambig,deberta-base_pred_orig,deberta-base_pred_ambig,deberta-large_pred_orig,deberta-large_pred_ambig
"Forty of the city's theaters, with more than 500 seats each, are collectively known as Broadway, after the major thoroughfare that crosses the Times Square Theater District, sometimes referred to as ""The Great White Way"". According to The Broadway League, Broadway shows sold approximately US$1.27 billion worth of tickets in the 2013–2014 season, an 11.4% increase from US$1.139 billion in the 2012–2013 season. Attendance in 2013–2014 stood at 12.21 million, representing a 5.5% increase from the 2012–2013 season's 11.57 million.",season,How many people attended a Broadway show in the 2013-4 season?,How many people were there for the season?,"{'text': ['12.21 million'], 'answer_start': [446]}",['12.21 million'],12. 21 million,12. 21 million,12 . 21 million,12 . 21 million, 12.21 million, 12.21 million, 12.21 million, 12.21 million,12.21 million,12.21 million,12.21 million,12.21 million
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,In what season was Donna Summer a guest judge on American Idol?,In what season summer was a guest?,"{'text': ['season three'], 'answer_start': [128]}",['season three'],season three,season three,season three,season three, season three, season three, season three, season three,season three,season three,three,three
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,In what season was Lionel Richie a guest judge on American Idol?,In what season was she a guest?,"{'text': ['season two'], 'answer_start': [48]}",['season two'],season two,season two,season two,season two, season two, season two, season two, three,season two,season eight,season two,season eight
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,In which season was Shania Twain a guest judge on American Idol?,In what season was she a guest?,"{'text': ['season six'], 'answer_start': [440]}",['season six'],season eight,season two,season eight,season two, season eight, season two, season six, three,season six,season eight,season eight,season eight
"Deciduous trees and plants have been promoted as a means of controlling solar heating and cooling. When planted on the southern side of a building in the northern hemisphere or the northern side in the southern hemisphere, their leaves provide shade during the summer, while the bare limbs allow light to pass during the winter. Since bare, leafless trees shade 1/3 to 1/2 of incident solar radiation, there is a balance between the benefits of summer shading and the corresponding loss of winter heating. In climates with significant heating loads, deciduous trees should not be planted on the Equator facing side of a building because they will interfere with winter solar availability. They can, however, be used on the east and west sides to provide a degree of summer shading without appreciably affecting winter solar gain.",season,The placement of deciduous trees on the Equator facing side of a building can have a negative effect on solar availability in which season?,Which season is affected by their placement near the building?,"{'text': ['winter'], 'answer_start': [321]}",['winter'],winter,winter,winter,summer, winter, summer, winter, winter,winter,winter,winter,summer
"Sergel's play toured in the UK starting at West Yorkshire Playhouse in Leeds in 2006, and again in 2011 starting at the York Theatre Royal, both productions featuring Duncan Preston as Atticus Finch. The play also opened the 2013 season at Regent's Park Open Air Theatre in London where it played to full houses and starred Robert Sean Leonard as Atticus Finch, his first London appearance in 22 years. The production is returning to the venue to close the 2014 season, prior to a UK Tour.",season,The play was the opening act for the starting of the 2013 season at which location?,The season began with a play — where did it happen?,"{'text': [""Regent's Park Open Air Theatre""], 'answer_start': [240]}","[""Regent's Park Open Air Theatre""]",regent ' s park open air theatre,regent ' s park open air theatre,regent ' s park open air theatre,west yorkshire playhouse in leeds, Regent's Park Open Air Theatre, Regent's Park Open Air Theatre, Regent's Park Open Air Theatre, Regent's Park Open Air Theatre,Regent's Park Open Air Theatre,Regent's Park Open Air Theatre in London,Regent's Park Open Air Theatre,Regent's Park Open Air Theatre in London
"The show had originally planned on having four judges following the Pop Idol format; however, only three judges had been found by the time of the audition round in the first season, namely Randy Jackson, Paula Abdul and Simon Cowell. A fourth judge, radio DJ Stryker, was originally chosen but he dropped out citing ""image concerns"". In the second season, New York radio personality Angie Martinez had been hired as a fourth judge but withdrew only after a few days of auditions due to not being comfortable with giving out criticism. The show decided to continue with the three judges format until season eight. All three original judges stayed on the judging panel for eight seasons.",season,What New York radio personalty was hired as a judge for American Idol in season two but declined?,What organisation was hired as a judge in season?,"{'text': ['Angie Martinez'], 'answer_start': [383]}",['Angie Martinez'],angie martinez,new york radio personality angie martinez had been hired as a fourth judge but withdrew only after a few days of auditions due to not being comfortable with giving out criticism. the show decided to continue with the three judges format until season eight,angie martinez,new york radio personality angie martinez, Angie Martinez, New York radio personality Angie Martinez, Angie Martinez,<s>,Angie Martinez,[CLS],Angie Martinez,[CLS]
"American Idol employs a panel of judges who critique the contestants' performances. The original judges were record producer and music manager Randy Jackson, pop singer and choreographer Paula Abdul and music executive and manager Simon Cowell. The judging panel for the most recent season consisted of country singer Keith Urban, singer and actress Jennifer Lopez, and jazz singer Harry Connick, Jr. The show was originally hosted by radio personality Ryan Seacrest and comedian Brian Dunkleman, with Seacrest continuing on for the rest of the seasons.",season,What actress is a judge on the most current season of American Idol?,Who is part of the most current season?,"{'text': ['Jennifer Lopez'], 'answer_start': [350]}",['Jennifer Lopez'],jennifer lopez,"keith urban, singer and actress jennifer lopez, and jazz singer harry connick, jr.",jennifer lopez,"country singer keith urban , singer and actress jennifer lopez , and jazz singer harry connick , jr .", Jennifer Lopez," Keith Urban, singer and actress Jennifer Lopez, and jazz singer Harry Connick, Jr", Jennifer Lopez,,Jennifer Lopez,"Keith Urban, singer and actress Jennifer Lopez, and jazz singer Harry Connick, Jr.",Jennifer Lopez,"Keith Urban, singer and actress Jennifer Lopez, and jazz singer Harry Connick, Jr"
"The show had originally planned on having four judges following the Pop Idol format; however, only three judges had been found by the time of the audition round in the first season, namely Randy Jackson, Paula Abdul and Simon Cowell. A fourth judge, radio DJ Stryker, was originally chosen but he dropped out citing ""image concerns"". In the second season, New York radio personality Angie Martinez had been hired as a fourth judge but withdrew only after a few days of auditions due to not being comfortable with giving out criticism. The show decided to continue with the three judges format until season eight. All three original judges stayed on the judging panel for eight seasons.",season,What radio DJ was originally hired as a judge in season one but declined?,Who was hired as a judge in season?,"{'text': ['Stryker'], 'answer_start': [259]}",['Stryker'],stryker,radio dj stryker,stryker,angie martinez, Stryker, Angie Martinez, Stryker, Angie Martinez,Stryker,Angie Martinez,Stryker,Angie Martinez
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,Which season eight contestant was a guest judge in season fourteen?,Which contestant from the eighth season took part as a guest in a later season?,"{'text': ['Adam Lambert'], 'answer_start': [576]}",['Adam Lambert'],adam lambert,adam lambert,adam lambert,adam lambert, Adam Lambert, Adam Lambert, Adam Lambert, Adam Lambert,Adam Lambert,Adam Lambert,Adam Lambert,Adam Lambert
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,Which season of American Idol featured Katy Perry as a guest judge?,Which season highlighted her as one of the guest?,"{'text': ['season nine'], 'answer_start': [535]}",['season nine'],season nine,season two,season nine,season three, season nine, season two, season nine, season three,season nine,season eight,season nine,season eight
"In season eight, Latin Grammy Award-nominated singer–songwriter and record producer Kara DioGuardi was added as a fourth judge. She stayed for two seasons and left the show before season ten. Paula Abdul left the show before season nine after failing to agree terms with the show producers. Emmy Award-winning talk show host Ellen DeGeneres replaced Paula Abdul for that season, but left after just one season. On January 11, 2010, Simon Cowell announced that he was leaving the show to pursue introducing the American version of his show The X Factor to the USA for 2011. Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two seasons. They were replaced by three new judges, Mariah Carey, Nicki Minaj and Keith Urban, who joined Randy Jackson in season 12. However both Carey and Minaj left after one season, and Randy Jackson also announced that he would depart the show after twelve seasons as a judge but would return as a mentor. Urban is the only judge from season 12 to return in season 13. He was joined by previous judge Jennifer Lopez and former mentor Harry Connick, Jr.. Lopez, Urban and Connick, Jr. all returned as judges for the show's fourteenth and fifteenth seasons.",season,Who replaced Paula Abdul as a judge in season nine of American Idol?,Who came in after Paula Abdul during that particular season?,"{'text': ['Ellen DeGeneres'], 'answer_start': [325]}",['Ellen DeGeneres'],ellen degeneres,ellen degeneres,ellen degeneres,ellen degeneres, Ellen DeGeneres, Ellen DeGeneres, Ellen DeGeneres, Ellen DeGeneres,Ellen DeGeneres,Ellen DeGeneres,Ellen DeGeneres,Ellen DeGeneres
"In season eight, Latin Grammy Award-nominated singer–songwriter and record producer Kara DioGuardi was added as a fourth judge. She stayed for two seasons and left the show before season ten. Paula Abdul left the show before season nine after failing to agree terms with the show producers. Emmy Award-winning talk show host Ellen DeGeneres replaced Paula Abdul for that season, but left after just one season. On January 11, 2010, Simon Cowell announced that he was leaving the show to pursue introducing the American version of his show The X Factor to the USA for 2011. Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two seasons. They were replaced by three new judges, Mariah Carey, Nicki Minaj and Keith Urban, who joined Randy Jackson in season 12. However both Carey and Minaj left after one season, and Randy Jackson also announced that he would depart the show after twelve seasons as a judge but would return as a mentor. Urban is the only judge from season 12 to return in season 13. He was joined by previous judge Jennifer Lopez and former mentor Harry Connick, Jr.. Lopez, Urban and Connick, Jr. all returned as judges for the show's fourteenth and fifteenth seasons.",season,Who was added as a fourth judge for the eighth season?,Who joined as the fourth member during that season run?,"{'text': ['Kara DioGuardi'], 'answer_start': [84]}",['Kara DioGuardi'],kara dioguardi,kara dioguardi,kara dioguardi,kara dioguardi, Kara DioGuardi, Kara DioGuardi, Kara DioGuardi, Kara DioGuardi,Kara DioGuardi,Kara DioGuardi,Kara DioGuardi,Kara DioGuardi
"In season eight, Latin Grammy Award-nominated singer–songwriter and record producer Kara DioGuardi was added as a fourth judge. She stayed for two seasons and left the show before season ten. Paula Abdul left the show before season nine after failing to agree terms with the show producers. Emmy Award-winning talk show host Ellen DeGeneres replaced Paula Abdul for that season, but left after just one season. On January 11, 2010, Simon Cowell announced that he was leaving the show to pursue introducing the American version of his show The X Factor to the USA for 2011. Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two seasons. They were replaced by three new judges, Mariah Carey, Nicki Minaj and Keith Urban, who joined Randy Jackson in season 12. However both Carey and Minaj left after one season, and Randy Jackson also announced that he would depart the show after twelve seasons as a judge but would return as a mentor. Urban is the only judge from season 12 to return in season 13. He was joined by previous judge Jennifer Lopez and former mentor Harry Connick, Jr.. Lopez, Urban and Connick, Jr. all returned as judges for the show's fourteenth and fifteenth seasons.",season,Who was added as a fourth judge in the eighth season of American Idol?,Who was brought in during the season for a fourth spot on the panel?,"{'text': ['Kara DioGuardi'], 'answer_start': [84]}",['Kara DioGuardi'],kara dioguardi,kara dioguardi,kara dioguardi,kara dioguardi, Kara DioGuardi, Kara DioGuardi, Kara DioGuardi, Kara DioGuardi,Kara DioGuardi,Kara DioGuardi,Kara DioGuardi,Kara DioGuardi
"The first season was co-hosted by Ryan Seacrest and Brian Dunkleman. Dunkleman quit thereafter, making Seacrest the sole emcee of the show starting with season two.",season,Who was the only host of American Idol after season one?,Who hosted the show once season one had passed into the next season?,"{'text': ['Ryan Seacrest'], 'answer_start': [34]}",['Ryan Seacrest'],brian dunkleman,brian dunkleman,ryan seacrest,ryan seacrest, Brian Dunkleman, Ryan Seacrest, Ryan Seacrest, Ryan Seacrest,Ryan Seacrest,Ryan Seacrest,Ryan Seacrest,Ryan Seacrest
"Guest judges may occasionally be introduced. In season two, guest judges such as Lionel Richie and Robin Gibb were used, and in season three Donna Summer, Quentin Tarantino and some of the mentors also joined as judges to critique the performances in the final rounds. Guest judges were used in the audition rounds for seasons four, six, nine, and fourteen such as Gene Simmons and LL Cool J in season four, Jewel and Olivia Newton-John in season six, Shania Twain in season eight, Neil Patrick Harris, Avril Lavigne and Katy Perry in season nine, and season eight runner-up, Adam Lambert, in season fourteen.",season,Who were the guest judges in season two?,Who joined in as a guest during the second season round?,"{'text': ['Lionel Richie and Robin Gibb'], 'answer_start': [81]}",['Lionel Richie and Robin Gibb'],lionel richie and robin gibb,"donna summer, quentin tarantino",lionel richie and robin gibb,lionel richie and robin gibb, Lionel Richie and Robin Gibb, Lionel Richie and Robin Gibb, Lionel Richie and Robin Gibb, Lionel Richie and Robin Gibb,Lionel Richie and Robin Gibb,Lionel Richie and Robin Gibb,Lionel Richie and Robin Gibb,Lionel Richie
